created,submission,commit,solver,status,qubits,toffoli,publication_bucket,source_state,metric_delta,mechanism_families,origin_kind,origin_note,worked,blocked,next_action,source_locus_count,first_open
"6/1/26, 7:24 PM",2ca410f,404d630,Gajesh2007,promoted,2309,2615899,mechanism write-up,source-backed,score=6.4073; T=6.4073; event=85.61,Clean-bit and range-bounded arithmetic; Register sharing and transcript compression; Measured cleanup and phase feedback; Lifecycle loans; Score-model and validation-island effects,benchmark-local mechanism,The contribution depends on the challenge's average-executed score and validation distribution; reusable physical-cost claims need a separate static schedule.,mechanism prose with source/proof citations,all-input theorem without separate proof,"write prose from source loci, proof classes, and mechanism families",5,source_loci_by_mechanism.csv
"6/1/26, 8:36 PM",375fdff,ba05d3a,Gajesh2007,promoted,2309,2462914,mechanism write-up,source-backed,score=3.3200; T=3.3200; event=62.98,Clean-bit and range-bounded arithmetic; Low-scratch arithmetic specialization; Register sharing and transcript compression; Lifecycle loans; Score-model and validation-island effects,benchmark-local mechanism,The contribution depends on the challenge's average-executed score and validation distribution; reusable physical-cost claims need a separate static schedule.,mechanism prose with source/proof citations,all-input theorem without separate proof,"write prose from source loci, proof classes, and mechanism families",2,source_loci_by_mechanism.csv
"6/2/26, 3:17 AM",620443,233a44c,Gajesh2007,promoted,2025,2560503,mechanism write-up,source-backed,score=6.5271; q=284; T=0.0000; event=128.61,Peak co-ownership and joint-pin relief; Register sharing and transcript compression; Recomputation instead of residency; Clean-bit and range-bounded arithmetic; Measured cleanup and phase feedback; Low-scratch arithmetic specialization,"reversible-pebbling lineage, locally instantiated","Bennett-style recomputation and Luo-style register sharing are prior ideas; the local contribution is the composed GCD width envelope, history folding, carry-pool relocation, and affine-square recomputation.",mechanism prose with source/proof citations,all-input theorem without separate proof,"write prose from source loci, proof classes, and mechanism families",6,source_loci_by_mechanism.csv
"6/2/26, 7:03 AM",0c1d4d9,cddd5df,pldallairedemers,promoted,1698,2447846,mechanism write-up,source-backed,score=18.8304; q=304; event=152.83,Register sharing and transcript compression; Lifecycle loans; Clean-bit and range-bounded arithmetic; Per-call scheduling and suffix release; Measured cleanup and phase feedback; Score-model and validation-island effects,ported architecture plus local integration,"The compressed-sidecar route imports an external architecture family; the source-backed contribution is the local integration, route defaults, and block-lifecycle evidence, not invention of the whole architecture.",mechanism prose with source/proof citations,all-input theorem without separate proof,"write prose from source loci, proof classes, and mechanism families",5,source_loci_by_mechanism.csv
"6/2/26, 8:05 AM",75927ba,7e660f9,saucegodbased,promoted,1698,2223350,mechanism write-up,source-backed,score=7.2119; T=7.2119; event=68.82,Measured cleanup and phase feedback; Register sharing and transcript compression; Clean-bit and range-bounded arithmetic; Recomputation instead of residency; Score-model and validation-island effects; Low-scratch arithmetic specialization,benchmark-local mechanism,The contribution depends on the challenge's average-executed score and validation distribution; reusable physical-cost claims need a separate static schedule.,mechanism prose with source/proof citations,all-input theorem without separate proof,"write prose from source loci, proof classes, and mechanism families",2,source_loci_by_mechanism.csv
"6/2/26, 8:12 AM",df59687,6447611,owizdom,promoted,1698,2083878,mechanism write-up,source-backed,score=6.2731; T=6.2731; event=79.41,Measured cleanup and phase feedback; Clean-bit and range-bounded arithmetic; Register sharing and transcript compression; Recomputation instead of residency; Score-model and validation-island effects; Low-scratch arithmetic specialization,benchmark-local mechanism,The contribution depends on the challenge's average-executed score and validation distribution; reusable physical-cost claims need a separate static schedule.,mechanism prose with source/proof citations,all-input theorem without separate proof,"write prose from source loci, proof classes, and mechanism families",4,source_loci_by_mechanism.csv
"6/2/26, 8:28 AM",1f7aabe,c813ee5,saucegodbased,promoted,1698,1981734,mechanism write-up,source-backed,score=4.9016; T=4.9016; event=65.35,Measured cleanup and phase feedback; Register sharing and transcript compression; Recomputation instead of residency; Score-model and validation-island effects,benchmark-local mechanism,The contribution depends on the challenge's average-executed score and validation distribution; reusable physical-cost claims need a separate static schedule.,mechanism prose with source/proof citations,all-input theorem without separate proof,"write prose from source loci, proof classes, and mechanism families",2,source_loci_by_mechanism.csv
"6/2/26, 8:39 AM",f1acd7f,3c30191,jtrose24,promoted,1698,1952382,source-gap closure,source-gap,score=1.4811; T=1.4811; event=48.22,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,taxonomy_review_roi.csv
"6/2/26, 8:49 AM",690bdb9,4b9cfbb,saucegodbased,promoted,1698,1928442,source-gap closure,source-gap,score=1.2262; T=1.2262; event=47.84,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,taxonomy_review_roi.csv
"6/2/26, 9:03 AM",fd70a60,9b6b9d6,Epistetechnician,promoted,1698,1861990,mechanism write-up,source-backed,score=3.3200; T=3.3200; event=86.98,Low-scratch arithmetic specialization; Measured cleanup and phase feedback; Recomputation instead of residency; Register sharing and transcript compression; Lifecycle loans,source-backed local instantiation of prior lineage,"Source loci classify the row as controlled-predicate fusion / direct comparator emission; the paper may use it as bounded local mechanism evidence, not as a formal theorem.",mechanism prose with source/proof citations,all-input theorem without separate proof,"write prose from source loci, proof classes, and mechanism families",6,source_loci_by_mechanism.csv
"6/2/26, 9:15 AM",8ee9ad8,acf2bdb,saucegodbased,promoted,1698,1838050,source-gap closure,source-gap,score=1.2857; T=1.2857; event=47.93,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,taxonomy_review_roi.csv
"6/2/26, 9:21 AM",66ad478,f8a36ba,Gajesh2007,promoted,1698,1704086,mechanism write-up,source-backed,score=7.2884; T=7.2884; event=74.93,Clean-bit and range-bounded arithmetic; Register sharing and transcript compression; Measured cleanup and phase feedback; Low-scratch arithmetic specialization; Per-call scheduling and suffix release; Recomputation instead of residency,source-backed local instantiation of prior lineage,"Source loci classify the row as apply-phase carry-tail truncation; per-step comparator scheduling; route/default provenance; the paper may use it as bounded local mechanism evidence, not as a formal theorem.",mechanism prose with source/proof citations,all-input theorem without separate proof,"write prose from source loci, proof classes, and mechanism families",3,source_loci_by_mechanism.csv
"6/2/26, 11:52 AM",744b274,68e3653,saucegodbased,promoted,1572,1770897,mechanism write-up,source-backed,score=1.3693; q=121; T=0.0000; event=103.89,Measured cleanup and phase feedback; Register sharing and transcript compression; Lifecycle loans; Score-model and validation-island effects; Clean-bit and range-bounded arithmetic; Low-scratch arithmetic specialization,local register-lifetime construction,"Windowed apply carries and future-log hosted gates reuse standard cleanup and register-sharing ideas, but the source-backed contribution is the local peak-relief construction.",mechanism prose with source/proof citations,all-input theorem without separate proof,"write prose from source loci, proof classes, and mechanism families",6,source_loci_by_mechanism.csv
"6/2/26, 2:23 PM",3bd3aa5,550895c,solimander,promoted,1567,1689505,source-gap closure,source-gap,score=3.0925; q=4; T=0.0000; event=55.57,Register sharing and transcript compression; Measured cleanup and phase feedback; Low-scratch arithmetic specialization; Clean-bit and range-bounded arithmetic; Lifecycle loans; Score-model and validation-island effects,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,open likely source path and add bounded source-locus rows,0,src/point_add/mod.rs
"6/2/26, 8:35 PM",da05eeb,250774e,10d9e,promoted,1500,1718717,source-gap closure,source-gap,score=0.4932; q=41; event=73.41,Register sharing and transcript compression; Recomputation instead of residency; Clean-bit and range-bounded arithmetic; Low-scratch arithmetic specialization; Measured cleanup and phase feedback; Peak co-ownership and joint-pin relief,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,open likely source path and add bounded source-locus rows,0,src/point_add/mod.rs
"6/2/26, 9:19 PM",f2cd713,92a247e,mpjunior92,promoted,1466,1732283,source-gap closure,source-gap,score=1.3773; q=34; T=0.0000; event=57.46,Register sharing and transcript compression; Low-scratch arithmetic specialization; Clean-bit and range-bounded arithmetic; Lifecycle loans; Score-model and validation-island effects,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,open likely source path and add bounded source-locus rows,0,src/point_add/mod.rs
"6/2/26, 10:57 PM",53cab17,8ab5f90,pldallairedemers,promoted,1446,1737201,source-gap closure,source-gap,score=0.8520; q=20; T=0.0000; event=55.25,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,taxonomy_review_roi.csv
"6/3/26, 11:06 PM",62c8115,13a01b8,nikhiljha,promoted,1355,1781211,source-gap closure,source-gap,score=0.7150; q=56; T=0.0000; event=59.44,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,taxonomy_review_roi.csv
"6/5/26, 6:32 AM",ca1cd1f,0780f67,johnbxx,promoted,1394,1629451,mechanism write-up,source-backed,score=4.5326; T=4.8324; event=70.95,Register sharing and transcript compression; Per-call scheduling and suffix release; Lifecycle loans; Clean-bit and range-bounded arithmetic; Low-scratch arithmetic specialization; Score-model and validation-island effects,local transcript-compression extension,Compressed transcript and K=2 bounded-shift storage extend the existing dialog-GCD route inside the local source/validator boundary.,mechanism prose with source/proof citations,all-input theorem without separate proof,"write prose from source loci, proof classes, and mechanism families",3,source_loci_by_mechanism.csv
"6/5/26, 7:33 AM",3.78E+11,1.26E+11,newjordan,promoted,1390,1602999,source-gap closure,source-gap,score=1.3091; T=1.3091; event=47.96,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,taxonomy_review_roi.csv
"6/5/26, 7:54 AM",730949a,5b3887b,newjordan,promoted,1390,1579823,source-gap closure,source-gap,score=1.1364; T=1.1364; event=47.70,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,taxonomy_review_roi.csv
"6/5/26, 3:15 PM",67be862,06b07ee,teddyjfpender,promoted,1320,1565417,source-gap closure,source-gap,score=1.0901; q=30; T=0.0000; event=56.69,Recomputation instead of residency; Register sharing and transcript compression; Clean-bit and range-bounded arithmetic; Lifecycle loans; Score-model and validation-island effects,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,src/point_add/mod.rs
"6/6/26, 11:30 AM",2e79780,571e67c,runeape-sats,promoted,1285,1539655,source-gap closure,source-gap,score=0.0167; q=24; T=0.0000; event=54.90,Clean-bit and range-bounded arithmetic; Per-call scheduling and suffix release; Score-model and validation-island effects,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,src/point_add/mod.rs
"6/8/26, 9:59 AM",4b7d727,bfd3fa6,BitWonka,promoted,1300,1404058,mechanism write-up,source-backed,score=3.4935; T=3.4260; event=87.21,Score-model and validation-island effects; Measured cleanup and phase feedback; Recomputation instead of residency,benchmark-local score-model mechanism,"Measured cleanup and conditional replay use phase-feedback lineage; the contribution is the challenge-specific average-executed-Toffoli mechanism, with physical emitted-cost claims blocked.",mechanism prose with source/proof citations,all-input theorem without separate proof,"write prose from source loci, proof classes, and mechanism families",6,source_loci_by_mechanism.csv
"6/8/26, 8:22 PM",52c6b6b,98dd2ad,BitWonka,promoted,1297,1386820,source-gap closure,source-gap,score=1.2049; T=1.1900; event=47.80,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,taxonomy_review_roi.csv
"6/10/26, 12:36 PM",c20c89b,7689eac,welttowelt,promoted,1226,1435354,source-gap closure,source-gap,score=0.3254; q=59; T=0.0000; event=59.41,Register sharing and transcript compression; Clean-bit and range-bounded arithmetic; Measured cleanup and phase feedback; Lifecycle loans; Score-model and validation-island effects,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,src/point_add/rounds/dialog/mod.rs
"6/11/26, 12:32 AM",d8466d8,1a5e620,BitWonka,promoted,1221,1405548,source-gap closure,source-gap,score=1.5489; T=0.0000; event=31.55,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,taxonomy_review_roi.csv
"6/13/26, 7:59 AM",ad4cf86,bb579bb,BitWonka,promoted,1193,1412391,source-gap closure,source-gap,score=0.7315; q=10; T=0.0000; event=53.93,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,taxonomy_review_roi.csv
"6/13/26, 11:56 AM",a7ec174,0fa5c6f,jieyilong,promoted,1192,1412425,source-gap closure,source-gap,score=0.0814; q=1; T=0.0000; event=52.20,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,taxonomy_review_roi.csv
"6/13/26, 5:14 PM",3182d2b,cf310ec,nasqret,promoted,1185,1418587,source-gap closure,source-gap,score=0.1223; q=7; T=0.0000; event=52.96,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,taxonomy_review_roi.csv
"6/14/26, 3:15 AM",1278a07,674d0d8,nasqret,promoted,1170,1434999,source-gap closure,source-gap,score=0.1235; q=15; T=0.0000; event=53.92,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,taxonomy_review_roi.csv
"6/15/26, 8:34 PM",77eaef6,35ceb01,BitWonka,promoted,1168,1433676,source-gap closure,source-gap,score=0.0915; q=2; T=0.0000; event=52.33,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,taxonomy_review_roi.csv
"6/17/26, 9:33 AM",85d5dae,f46a8c4,SamrendraS,rejected,980,39648420,source-gap closure,source-gap,score=0.0000; q=188; event=60.56,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,src/point_add/trailmix_port/arith/khattar_gidney.rs
"6/17/26, 10:47 AM",4352cfb,32bd568,welttowelt,rejected,980,28847321,source-gap closure,source-gap,score=0.0000; T=27.2422; event=47.62,Clean-bit and range-bounded arithmetic; Measured cleanup and phase feedback; Hard-Q metadata compression; Score-model and validation-island effects,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,src/point_add/trailmix_port/arith/khattar_gidney.rs
"6/17/26, 7:23 PM",07345f0,e41f015,welttowelt,rejected,979,28727201,source-gap closure,source-gap,score=0.0000; q=1; T=0.0000; event=22.12,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,src/point_add/trailmix_port/arith/khattar_gidney.rs
"6/17/26, 11:16 PM",8ce6e4e,3cf3415,Akashneelesh,rejected,978,29069321,source-gap closure,source-gap,score=0.0000; q=1; T=0.0000; event=22.12,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,src/point_add/trailmix_port/arith/khattar_gidney.rs
"6/17/26, 11:48 PM",15206f6,25d5039,nasqret,rejected,977,29062361,source-gap closure,source-gap,score=0.0000; q=1; T=0.0000; event=22.12,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,src/point_add/trailmix_port/arith/khattar_gidney.rs
"6/17/26, 11:59 PM",3d584a4,585ac4a,nasqret,rejected,976,28573233,source-gap closure,source-gap,score=0.0000; q=1; T=0.0000; event=22.12,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,src/point_add/trailmix_port/arith/khattar_gidney.rs
"6/18/26, 12:32 AM",be22a52,b859f9d,nasqret,rejected,975,28462993,source-gap closure,source-gap,score=0.0000; q=1; T=0.0000; event=22.12,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,src/point_add/trailmix_port/arith/khattar_gidney.rs
"6/18/26, 4:04 AM",ddbfddb,89a1652,jieyilong,rejected,974,28328177,source-gap closure,source-gap,score=0.0000; q=1; T=0.1346; event=38.19,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,src/point_add/trailmix_port/arith/khattar_gidney.rs
"6/18/26, 4:44 AM",53dc92c,d37c518,jieyilong,rejected,973,28328177,source-gap closure,source-gap,score=0.0000; q=1; T=0.0000; event=22.12,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,src/point_add/trailmix_port/arith/khattar_gidney.rs
"6/18/26, 5:11 AM",f40e8ff,2b3357b,nasqret,rejected,968,47050505,source-gap closure,source-gap,score=0.0000; q=5; T=0.0000; event=22.60,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,src/point_add/trailmix_port/arith/khattar_gidney.rs
"6/18/26, 7:30 AM",6bb7ab2,230031,jieyilong,rejected,967,34070681,source-gap closure,source-gap,score=0.0000; q=1; T=0.0000; event=22.12,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,src/point_add/trailmix_port/arith/khattar_gidney.rs
"6/18/26, 8:51 AM",f854afd,fbed70e,nasqret,rejected,966,34069641,source-gap closure,source-gap,score=0.0000; q=1; T=0.0000; event=22.12,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,src/point_add/trailmix_port/arith/khattar_gidney.rs
"6/18/26, 9:28 AM",84e5896,2a17a4b,nasqret,rejected,965,34069641,source-gap closure,source-gap,score=0.0000; q=1; T=0.0000; event=22.12,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,src/point_add/trailmix_port/arith/khattar_gidney.rs
"6/18/26, 12:46 PM",f9add2f,a7551c6,nasqret,rejected,959,69124073,source-gap closure,source-gap,score=0.0000; q=6; T=0.0000; event=22.72,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,src/point_add/trailmix_port/arith/khattar_gidney.rs
"6/18/26, 4:26 PM",043310c,0aaab69,nasqret,rejected,958,70812469,source-gap closure,source-gap,score=0.0000; q=1; T=0.0000; event=22.12,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,src/point_add/trailmix_port/arith/khattar_gidney.rs
"6/18/26, 4:48 PM",2a349c4,a52d307,nasqret,rejected,957,71643565,source-gap closure,source-gap,score=0.0000; q=1; T=0.0000; event=22.12,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,src/point_add/trailmix_port/arith/khattar_gidney.rs
