published_submission,official_submission,id_resolution,published_commit,official_source_commit,commit_matches,solver,created,q,t,publication_bucket,source_state,mechanism_families,selection_warning
0c1d4d9,0c1d4d9,exact_id,cddd5df,cddd5dfeca39a1f92e957b164a331931b7689e67,True,pldallairedemers,"6/2/26, 7:03 AM",1698,2447846,mechanism write-up,source-backed,Register sharing and transcript compression; Lifecycle loans; Clean-bit and range-bounded arithmetic; Per-call scheduling and suffix release; Measured cleanup and phase feedback; Score-model and validation-island effects,
75927ba,75927ba,exact_id,7e660f9,7e660f9f3406d85ab06aa08873536d280402dac7,True,saucegodbased,"6/2/26, 8:05 AM",1698,2223350,mechanism write-up,source-backed,Measured cleanup and phase feedback; Register sharing and transcript compression; Clean-bit and range-bounded arithmetic; Recomputation instead of residency; Score-model and validation-island effects; Low-scratch arithmetic specialization,
df59687,df59687,exact_id,6447611,644761157ef6ba5e2772c9d1e7c15610101257c8,True,owizdom,"6/2/26, 8:12 AM",1698,2083878,mechanism write-up,source-backed,Measured cleanup and phase feedback; Clean-bit and range-bounded arithmetic; Register sharing and transcript compression; Recomputation instead of residency; Score-model and validation-island effects; Low-scratch arithmetic specialization,
1f7aabe,1f7aabe,exact_id,c813ee5,c813ee55f14aa4a31a328366d672e1fb1c407a3d,True,saucegodbased,"6/2/26, 8:28 AM",1698,1981734,mechanism write-up,source-backed,Measured cleanup and phase feedback; Register sharing and transcript compression; Recomputation instead of residency; Score-model and validation-island effects,
f1acd7f,f1acd7f,exact_id,3c30191,3c301916b9a175b80ae284fdbcfb15cc8baa2532,True,jtrose24,"6/2/26, 8:39 AM",1698,1952382,source-gap closure,source-gap,Unclassified support row,
690bdb9,690bdb9,exact_id,4b9cfbb,4b9cfbb55d002bb23ca020ae101d3e332fe275e5,True,saucegodbased,"6/2/26, 8:49 AM",1698,1928442,source-gap closure,source-gap,Unclassified support row,
fd70a60,fd70a60,exact_id,9b6b9d6,9b6b9d6f334a044ba39070a80dadf12c947c665d,True,Epistetechnician,"6/2/26, 9:03 AM",1698,1861990,mechanism write-up,source-backed,Low-scratch arithmetic specialization; Measured cleanup and phase feedback; Recomputation instead of residency; Register sharing and transcript compression; Lifecycle loans,
8ee9ad8,8ee9ad8,exact_id,acf2bdb,acf2bdbd08d8836b5f8e5b4c6a251b7ecd907118,True,saucegodbased,"6/2/26, 9:15 AM",1698,1838050,source-gap closure,source-gap,Unclassified support row,
66ad478,66ad478,exact_id,f8a36ba,f8a36ba24cd757be09ee655bc12ae757fdf7454f,True,Gajesh2007,"6/2/26, 9:21 AM",1698,1704086,mechanism write-up,source-backed,Clean-bit and range-bounded arithmetic; Register sharing and transcript compression; Measured cleanup and phase feedback; Low-scratch arithmetic specialization; Per-call scheduling and suffix release; Recomputation instead of residency,
744b274,744b274,exact_id,68e3653,68e36539833108ef97eb4692304640faaaef8509,True,saucegodbased,"6/2/26, 11:52 AM",1572,1770897,mechanism write-up,source-backed,Measured cleanup and phase feedback; Register sharing and transcript compression; Lifecycle loans; Score-model and validation-island effects; Clean-bit and range-bounded arithmetic; Low-scratch arithmetic specialization,
3bd3aa5,3bd3aa5,exact_id,550895c,550895c35f3ca389783f31887806ffb32791d3a0,True,solimander,"6/2/26, 2:23 PM",1567,1689505,source-gap closure,source-gap,Register sharing and transcript compression; Measured cleanup and phase feedback; Low-scratch arithmetic specialization; Clean-bit and range-bounded arithmetic; Lifecycle loans; Score-model and validation-island effects,
da05eeb,da05eeb,exact_id,250774e,250774e2ad715294cad1f1fef1e6eb2fbadeb839,True,10d9e,"6/2/26, 8:35 PM",1500,1718717,source-gap closure,source-gap,Register sharing and transcript compression; Recomputation instead of residency; Clean-bit and range-bounded arithmetic; Low-scratch arithmetic specialization; Measured cleanup and phase feedback; Peak co-ownership and joint-pin relief,
f2cd713,f2cd713,exact_id,92a247e,92a247ec59074b4a40154d2ad6f6ef8c1b8a66fe,True,mpjunior92,"6/2/26, 9:19 PM",1466,1732283,source-gap closure,source-gap,Register sharing and transcript compression; Low-scratch arithmetic specialization; Clean-bit and range-bounded arithmetic; Lifecycle loans; Score-model and validation-island effects,
53cab17,53cab17,exact_id,8ab5f90,8ab5f90ec6b4ac9b182df200c96cfa8f281f3bab,True,pldallairedemers,"6/2/26, 10:57 PM",1446,1737201,source-gap closure,source-gap,Unclassified support row,
62c8115,62c8115,exact_id,13a01b8,13a01b83a83594e328d594840039826868273fa9,True,nikhiljha,"6/3/26, 11:06 PM",1355,1781211,source-gap closure,source-gap,Unclassified support row,
ca1cd1f,ca1cd1f,exact_id,0780f67,0780f6761c4cbc0dd2403b9c4e2daea2321c0095,True,johnbxx,"6/5/26, 6:32 AM",1394,1629451,mechanism write-up,source-backed,Register sharing and transcript compression; Per-call scheduling and suffix release; Lifecycle loans; Clean-bit and range-bounded arithmetic; Low-scratch arithmetic specialization; Score-model and validation-island effects,
3.78e+11,37816e7,recovered_from_solver_q_t,1.26E+11,01260e8a9f2138462a086813425217496bb596b9,False,newjordan,"6/5/26, 7:33 AM",1390,1602999,source-gap closure,source-gap,Unclassified support row,spreadsheet_id_or_commit_repaired
730949a,730949a,exact_id,5b3887b,5b3887b6e3d24acbe74d491624d2223ab5fe91db,True,newjordan,"6/5/26, 7:54 AM",1390,1579823,source-gap closure,source-gap,Unclassified support row,
67be862,67be862,exact_id,06b07ee,06b07eead9d332c25c77bc9c02b7518920f63386,True,teddyjfpender,"6/5/26, 3:15 PM",1320,1565417,source-gap closure,source-gap,Recomputation instead of residency; Register sharing and transcript compression; Clean-bit and range-bounded arithmetic; Lifecycle loans; Score-model and validation-island effects,
2e79780,2e79780,exact_id,571e67c,571e67ceaf715ed8de2706ece1b4adf6b3a2f851,True,runeape-sats,"6/6/26, 11:30 AM",1285,1539655,source-gap closure,source-gap,Clean-bit and range-bounded arithmetic; Per-call scheduling and suffix release; Score-model and validation-island effects,
4b7d727,4b7d727,exact_id,bfd3fa6,bfd3fa65a9197fa2e9139c80eb632b76ae63f25c,True,BitWonka,"6/8/26, 9:59 AM",1300,1404058,mechanism write-up,source-backed,Score-model and validation-island effects; Measured cleanup and phase feedback; Recomputation instead of residency,
52c6b6b,52c6b6b,exact_id,98dd2ad,98dd2ad505a0eb03e315294d6bf4185afec0ab1c,True,BitWonka,"6/8/26, 8:22 PM",1297,1386820,source-gap closure,source-gap,Unclassified support row,
c20c89b,c20c89b,exact_id,7689eac,7689eacf73722c307606c3decfeec614856ff11c,True,welttowelt,"6/10/26, 12:36 PM",1226,1435354,source-gap closure,source-gap,Register sharing and transcript compression; Clean-bit and range-bounded arithmetic; Measured cleanup and phase feedback; Lifecycle loans; Score-model and validation-island effects,
d8466d8,d8466d8,exact_id,1a5e620,1a5e62092ca8ba22aa19fac09ad1984568090584,True,BitWonka,"6/11/26, 12:32 AM",1221,1405548,source-gap closure,source-gap,Unclassified support row,
ad4cf86,ad4cf86,exact_id,bb579bb,bb579bba251e2ef0260d605d37600a5ea3770c24,True,BitWonka,"6/13/26, 7:59 AM",1193,1412391,source-gap closure,source-gap,Unclassified support row,
a7ec174,a7ec174,exact_id,0fa5c6f,0fa5c6f5f79c1cb14f046534c9ba12ab1d81e9fa,True,jieyilong,"6/13/26, 11:56 AM",1192,1412425,source-gap closure,source-gap,Unclassified support row,
3182d2b,3182d2b,exact_id,cf310ec,cf310ecb9a0bb938bb961fcd18019e891c5b7d12,True,nasqret,"6/13/26, 5:14 PM",1185,1418587,source-gap closure,source-gap,Unclassified support row,
1278a07,1278a07,exact_id,674d0d8,674d0d81df048324d6b7f0c971aea12e51e3f0d8,True,nasqret,"6/14/26, 3:15 AM",1170,1434999,source-gap closure,source-gap,Unclassified support row,
77eaef6,77eaef6,exact_id,35ceb01,35ceb019efa0d48accca8176a9382a47219f1ba0,True,BitWonka,"6/15/26, 8:34 PM",1168,1433676,source-gap closure,source-gap,Unclassified support row,
85d5dae,85d5dae,exact_id,f46a8c4,f46a8c47d39bb6446beec23614799784506a984b,True,SamrendraS,"6/17/26, 9:33 AM",980,39648420,source-gap closure,source-gap,Unclassified support row,
4352cfb,4352cfb,exact_id,32bd568,32bd56898f9d5494a4922642711395e47c910f2d,True,welttowelt,"6/17/26, 10:47 AM",980,28847321,source-gap closure,source-gap,Clean-bit and range-bounded arithmetic; Measured cleanup and phase feedback; Hard-Q metadata compression; Score-model and validation-island effects,
07345f0,07345f0,exact_id,e41f015,e41f015669274c1500706fc36820609d5548fef4,True,welttowelt,"6/17/26, 7:23 PM",979,28727201,source-gap closure,source-gap,Unclassified support row,
8ce6e4e,8ce6e4e,exact_id,3cf3415,3cf3415f95cb228860c823c37080b72dfcd41b46,True,Akashneelesh,"6/17/26, 11:16 PM",978,29069321,source-gap closure,source-gap,Unclassified support row,
15206f6,15206f6,exact_id,25d5039,25d5039db53aa5c423d32156de21761cff058c1e,True,nasqret,"6/17/26, 11:48 PM",977,29062361,source-gap closure,source-gap,Unclassified support row,
3d584a4,3d584a4,exact_id,585ac4a,585ac4afcc0e3ea5a091093ab9c833886b6a1f9c,True,nasqret,"6/17/26, 11:59 PM",976,28573233,source-gap closure,source-gap,Unclassified support row,
be22a52,be22a52,exact_id,b859f9d,b859f9d92d2639a5afa8d675896a45cb5b9c2bcd,True,nasqret,"6/18/26, 12:32 AM",975,28462993,source-gap closure,source-gap,Unclassified support row,
ddbfddb,ddbfddb,exact_id,89a1652,89a16522044b7acec29656fe61988b3586b9a986,True,jieyilong,"6/18/26, 4:04 AM",974,28328177,source-gap closure,source-gap,Unclassified support row,
53dc92c,53dc92c,exact_id,d37c518,d37c5185d7602545b8586c0301d98aac34ee3129,True,jieyilong,"6/18/26, 4:44 AM",973,28328177,source-gap closure,source-gap,Unclassified support row,
f40e8ff,f40e8ff,exact_id,2b3357b,2b3357b27a0df3453385b0991bd04ba39e6e3033,True,nasqret,"6/18/26, 5:11 AM",968,47050505,source-gap closure,source-gap,Unclassified support row,
6bb7ab2,6bb7ab2,exact_id,230031,0230031c0b28232e197b35aa39e4c32a78d7288b,False,jieyilong,"6/18/26, 7:30 AM",967,34070681,source-gap closure,source-gap,Unclassified support row,
f854afd,f854afd,exact_id,fbed70e,fbed70e1590a077aaf3811f50a514f534c0f4674,True,nasqret,"6/18/26, 8:51 AM",966,34069641,source-gap closure,source-gap,Unclassified support row,
84e5896,84e5896,exact_id,2a17a4b,2a17a4b6a990e5ec7118e90ed88b25bba7253c53,True,nasqret,"6/18/26, 9:28 AM",965,34069641,source-gap closure,source-gap,Unclassified support row,
f9add2f,f9add2f,exact_id,a7551c6,a7551c6cff364911cd3c9ef8219a79721a3c589e,True,nasqret,"6/18/26, 12:46 PM",959,69124073,source-gap closure,source-gap,Unclassified support row,
043310c,043310c,exact_id,0aaab69,0aaab6979f01f038d6d7c499cc6ea45e658f5518,True,nasqret,"6/18/26, 4:26 PM",958,70812469,source-gap closure,source-gap,Unclassified support row,
2a349c4,2a349c4,exact_id,a52d307,a52d307c31a5f4e10495e80a652bc90a9dc79331,True,nasqret,"6/18/26, 4:48 PM",957,71643565,source-gap closure,source-gap,Unclassified support row,
2ab3dd9,2ab3dd9,exact_id,a295af5,a295af53ac2b64440ccbb5ce6c81f3b52a13c995,True,nasqret,"6/18/26, 6:47 PM",956,75856553,source-gap closure,source-gap,Unclassified support row,
0ce9b13,0ce9b13,exact_id,c7a0e1f,c7a0e1ff96f75ff539869dbbc88ced45a5254fdc,True,nasqret,"6/19/26, 1:52 AM",952,78159965,low-Q boundary evidence,source-backed,Clean-bit and range-bounded arithmetic; Register sharing and transcript compression; Measured cleanup and phase feedback; Hard-Q metadata compression; Lifecycle loans; Score-model and validation-island effects,
44d7d51,44d7d51,exact_id,f8d23a9,f8d23a96c25b839ae7c380ca5dface8c45c1a079,True,BitWonka,"6/19/26, 3:31 PM",1164,1413462,mechanism write-up,source-backed,Lifecycle loans; Register sharing and transcript compression; Low-scratch arithmetic specialization; Measured cleanup and phase feedback; Score-model and validation-island effects,
717b405,717b405,exact_id,28fe2f2,28fe2f2447b3a18fcf49af556b7ea17a3c397845,True,alexander-sei,"6/19/26, 9:38 PM",1164,1391013,source-gap closure,source-gap,Unclassified support row,
a77c9da,a77c9da,exact_id,a376996,a3769967cb326573967c0a0389deb8233f03b114,True,teddyjfpender,"6/19/26, 11:17 PM",1019,31051277,low-Q/rate material evidence,source/proof-backed,Clean-bit and range-bounded arithmetic; Recomputation instead of residency; Hard-Q metadata compression; Low-scratch arithmetic specialization; Measured cleanup and phase feedback,
6c1a65d,6c1a65d,exact_id,fed64cf,fed64cf6ec83e31d97af62886f842322d8d18860,True,nasqret,"6/20/26, 11:18 AM",1159,1388180,mechanism write-up,source-backed,Measured cleanup and phase feedback; Per-call scheduling and suffix release; Register sharing and transcript compression; Clean-bit and range-bounded arithmetic; Lifecycle loans; Low-scratch arithmetic specialization,
a3b0148,a3b0148,exact_id,a203fac,a203fac0f49819743fa41c4016f390d8d854fac5,True,nasqret,"6/21/26, 7:41 PM",948,54781961,source-gap closure,source-gap,Clean-bit and range-bounded arithmetic; Measured cleanup and phase feedback; Hard-Q metadata compression; Score-model and validation-island effects,
425ac95,425ac95,exact_id,ff5c3d6,ff5c3d638c64b9114fe41ae49f5765f7401443fe,True,gnuchev,"6/22/26, 4:05 AM",947,61946637,source-gap closure,source-gap,Unclassified support row,
341d096,341d096,exact_id,e7dd3de,e7dd3de0f8cfc8d88d46c52670308b753c16fac8,True,nasqret,"6/23/26, 11:20 AM",851,464495956,source-gap closure,source-gap,Hard-Q metadata compression,
7c3bf1d,7c3bf1d,exact_id,903ac93,903ac9329e3e1bfdcb393c71ef627c14bd13e6d0,True,gopikannappan,"6/23/26, 6:22 PM",850,472528660,source-gap closure,source-gap,Unclassified support row,
a6aec81,a6aec81,exact_id,43ad642,43ad6423d6cd96c443c71e5340d7cf9aab12e140,True,gopikannappan,"6/23/26, 7:39 PM",846,508948948,source-gap closure,source-gap,Unclassified support row,
8d8959b,8d8959b,exact_id,1b836a8,1b836a8bda16a542a37d118a0186025db030826c,True,nasqret,"6/24/26, 6:24 AM",844,464285308,source-gap closure,source-gap,Clean-bit and range-bounded arithmetic; Measured cleanup and phase feedback,
c8da0d2,c8da0d2,exact_id,cbbf3f0,cbbf3f0166ef60d6a7123aa48a275ed11b2c0aae,True,gnuchev,"6/24/26, 9:14 AM",843,450381388,source-gap closure,source-gap,Unclassified support row,
9e06bd4,9e06bd4,exact_id,be568e6,be568e676fd26fe85445fc610a14514795d8d1ee,True,nasqret,"6/24/26, 9:18 AM",839,404790700,source-gap closure,source-gap,Unclassified support row,
3b3492d,3b3492d,exact_id,552e535,552e5355cb38a2d841f0ad87510b26c88f0ad0bc,True,gnuchev,"6/24/26, 12:01 PM",838,423137404,source-gap closure,source-gap,Unclassified support row,
05f3483,05f3483,exact_id,7386c44,7386c442313bec0ad1a5b28531386020994a1702,True,nasqret,"6/24/26, 1:48 PM",837,402545932,source-gap closure,source-gap,Unclassified support row,
eb1db87,eb1db87,exact_id,1dd61ca,1dd61ca2fa6a0dfdd7b187c1c0f5ea8b93124485,True,nasqret,"6/24/26, 4:27 PM",829,448103948,source-gap closure,source-gap,Unclassified support row,
39a9b5f,39a9b5f,exact_id,2857418,285741885e944a350fb5bfc22cbe0d5927abea0a,True,nasqret,"6/25/26, 7:14 AM",828,448102916,low-Q boundary evidence,source-backed,Hard-Q metadata compression; Lifecycle loans; Register sharing and transcript compression; Measured cleanup and phase feedback,
a08eaaf,a08eaaf,exact_id,6e904cd,6e904cdda1384fada3a36958d8921e0b10d70280,True,nasqret,"6/25/26, 3:29 PM",827,485326460,source-gap closure,source-gap,Register sharing and transcript compression; Measured cleanup and phase feedback; Hard-Q metadata compression; Lifecycle loans,
f1d8707,f1d8707,exact_id,eccd1c4,eccd1c49a50ebd072d08313d09e90bca4ea4a320,True,nasqret,"6/25/26, 4:37 PM",826,479337428,source-gap closure,source-gap,Register sharing and transcript compression; Clean-bit and range-bounded arithmetic; Measured cleanup and phase feedback; Hard-Q metadata compression; Lifecycle loans,
b6f2b0a,b6f2b0a,exact_id,e6d9fa9,e6d9fa95ab81a3414517030c974e75349912e7ca,True,nasqret,"6/26/26, 4:47 PM",825,489161900,low-Q boundary evidence,source-backed,Lifecycle loans; Hard-Q metadata compression; Recomputation instead of residency; Clean-bit and range-bounded arithmetic; Register sharing and transcript compression; Measured cleanup and phase feedback,
71f5115,71f5115,exact_id,d44cad3,d44cad386f2e121e2d952edcdcc3693f97d13153,True,BitWonka,"6/26/26, 6:06 PM",1152,1364230,mechanism write-up,source-backed,Low-scratch arithmetic specialization; Per-call scheduling and suffix release; Clean-bit and range-bounded arithmetic; Measured cleanup and phase feedback; Register sharing and transcript compression; Lifecycle loans,
